algorithm,frames,page_size,n_accesses,locality_window,page_faults,hit_ratio,avg_access_time_s,memory_utilization
FIFO,6,1,2000,128,2000,0.0,0.01,100.0
LRU,6,1,2000,128,2000,0.0,0.01,100.0
MRU,6,1,2000,128,1925,0.0375,0.0096250375,100.0
OPT,6,1,2000,128,1925,0.0375,0.0096250375,100.0
FIFO,6,2,2000,128,1000,0.5,0.0050005,100.0
LRU,6,2,2000,128,1000,0.5,0.0050005,100.0
MRU,6,2,2000,128,925,0.5375,0.0046255375000000005,100.0
OPT,6,2,2000,128,925,0.5375,0.0046255375000000005,100.0
FIFO,6,4,2000,128,500,0.75,0.00250075,100.0
LRU,6,4,2000,128,500,0.75,0.00250075,100.0
MRU,6,4,2000,128,422,0.789,0.002110789,100.0
OPT,6,4,2000,128,422,0.789,0.002110789,100.0
FIFO,6,8,2000,128,250,0.875,0.001250875,100.0
LRU,6,8,2000,128,250,0.875,0.001250875,100.0
MRU,6,8,2000,128,170,0.915,0.0008509149999999999,100.0
OPT,6,8,2000,128,170,0.915,0.0008509149999999999,100.0
FIFO,6,16,2000,128,125,0.9375,0.0006259375000000001,100.0
LRU,6,16,2000,128,125,0.9375,0.0006259375000000001,100.0
MRU,6,16,2000,128,40,0.98,0.00020098000000000002,100.0
OPT,6,16,2000,128,40,0.98,0.00020098000000000002,100.0
FIFO,6,32,2000,128,4,0.998,2.0997999999999998e-05,66.66666666666666
LRU,6,32,2000,128,4,0.998,2.0997999999999998e-05,66.66666666666666
MRU,6,32,2000,128,4,0.998,2.0997999999999998e-05,66.66666666666666
OPT,6,32,2000,128,4,0.998,2.0997999999999998e-05,66.66666666666666
